,Station,Latitude,Longitude
88,014825,-16.40,131.01
203,043038,-26.58,149.19
250,063005,-33.43,149.56
148,025015,-35.26,140.91
245,061010,-32.59,151.78
79,012067,-28.20,120.44
25,007090,-28.84,117.83
175,036051,-23.97,143.82
290,087053,-38.12,144.64
144,024515,-35.30,139.03
85,014015,-12.42,130.89
269,077008,-35.93,142.85
37,009503,-33.48,115.73
70,010668,-32.47,118.14
42,009561,-34.49,117.63
17,007007,-26.98,116.54
260,073012,-34.75,148.32
195,041024,-27.21,151.85
278,080065,-35.88,145.55
243,060027,-31.66,152.61
128,019001,-33.05,138.43
277,080009,-36.48,143.35
196,041050,-26.78,151.11
59,010149,-31.34,117.82
239,058012,-29.43,153.36
212,046042,-30.85,143.09
221,049023,-34.45,142.91
51,010041,-31.62,117.44
13,006011,-24.88,113.67
56,010123,-31.99,117.93
54,010092,-31.48,118.28
111,017004,-28.90,136.17
198,041082,-27.72,151.63
293,089033,-37.69,142.72
75,012013,-30.75,121.75
206,044042,-28.97,147.80
255,069006,-35.72,149.78
14,006045,-26.70,113.71
81,013002,-25.27,122.04
98,015593,-22.82,134.45
114,018001,-33.91,136.57
235,055045,-31.18,150.03
68,010636,-33.16,117.67
168,033073,-19.83,147.13
133,020053,-32.17,140.79
29,008013,-29.33,116.14
176,037001,-21.97,142.72
219,048031,-29.55,148.59
271,077039,-35.50,142.85
274,079010,-36.78,142.40
32,008088,-29.19,115.44
116,018023,-34.27,135.73
94,015528,-22.26,131.80
217,047045,-33.33,141.77
131,020005,-31.48,139.38
267,076031,-34.23,142.08
4,003023,-17.93,122.47
236,055055,-30.96,150.46
41,009557,-33.95,120.12
209,045017,-28.00,143.82
159,029048,-16.97,141.95
183,039037,-24.79,152.36
64,010541,-33.86,118.81
109,016055,-32.38,135.52
240,058063,-28.88,153.05
230,053003,-29.92,149.79
5,003027,-18.14,125.78
77,012052,-29.69,121.03
118,018033,-31.97,133.76
254,068034,-35.09,150.80
268,076063,-35.09,141.26
47,009739,-33.65,122.31
149,025018,-34.79,140.50
12,005014,-21.79,117.86
135,022000,-34.42,137.92
215,047033,-33.43,142.57
189,040082,-27.55,152.34
171,035070,-25.65,149.80
283,084030,-37.69,148.46
223,050018,-32.29,147.67
121,018057,-32.99,135.55
165,032044,-18.66,145.10
95,015546,-23.83,134.96
161,031055,-16.47,145.37
242,060026,-31.44,152.92
216,047039,-31.82,141.21
142,024501,-34.10,139.17
146,024535,-34.57,139.60
252,065022,-33.16,148.59
97,015590,-23.80,133.89
178,037043,-21.61,138.31
249,062026,-32.81,149.98
299,092037,-40.73,148.12
301,094063,-42.79,147.56
6,003028,-19.25,121.49
80,012108,-27.14,121.34
156,029004,-17.74,139.55
263,074128,-35.55,144.95
270,077030,-36.01,143.03
49,010037,-31.73,117.76
74,012011,-30.99,119.11
280,082068,-36.53,147.37
184,039040,-24.99,151.96
185,039250,-23.75,150.61
35,008141,-28.38,114.45
287,086131,-37.56,145.13
285,085096,-39.13,146.42
138,022801,-35.75,136.59
72,010795,-32.12,116.87
291,088060,-37.45,145.21
150,025507,-36.10,140.35
53,010091,-31.63,117.01
132,020020,-32.64,139.65
152,026025,-37.38,140.84
101,016009,-31.06,135.87
60,010505,-33.34,117.03
28,007197,-28.28,118.31
179,037049,-22.81,142.83
31,008079,-29.02,115.62
58,010133,-30.83,117.32
18,007011,-28.79,117.36
